"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1","FDW58",20.75,"Low Fat",0.007564836,"Snack Foods",107.8622,"OUT049","Medium","Tier 1","Supermarket Type1",1810.27177073569
"2","FDW14",8.3,"reg",0.038427677,"Dairy",87.3198,"OUT017",NA,"Tier 2","Supermarket Type1",1448.97038630741
"3","NCN55",14.6,"Low Fat",0.099574908,"Others",241.7538,"OUT010",NA,"Tier 3","Grocery Store",1902.05519418354
"4","FDQ58",7.315,"Low Fat",0.015388393,"Snack Foods",155.034,"OUT017",NA,"Tier 2","Supermarket Type1",2597.59722945863
"5","FDY38",NA,"Regular",0.118599314,"Dairy",234.23,"OUT027","Medium","Tier 3","Supermarket Type3",5155.72247413932
"6","FDH56",9.8,"Regular",0.063817206,"Fruits and Vegetables",117.1492,"OUT046","Small","Tier 1","Supermarket Type1",1962.48769042776
"7","FDL48",19.35,"Regular",0.082601537,"Baking Goods",50.1034,"OUT018","Medium","Tier 3","Supermarket Type2",592.182415329548
"8","FDC48",NA,"Low Fat",0.015782495,"Baking Goods",81.0592,"OUT027","Medium","Tier 3","Supermarket Type3",2773.71835150755
"9","FDN33",6.305,"Regular",0.123365446,"Snack Foods",95.7436,"OUT045",NA,"Tier 2","Supermarket Type1",1518.07647089779
"10","FDA36",5.985,"Low Fat",0.005698435,"Baking Goods",186.8924,"OUT017",NA,"Tier 2","Supermarket Type1",3042.02273667188
"11","FDT44",16.6,"Low Fat",0.103569075,"Fruits and Vegetables",118.3466,"OUT017",NA,"Tier 2","Supermarket Type1",1986.07773020894
"12","FDQ56",6.59,"Low Fat",0.10581147,"Fruits and Vegetables",85.3908,"OUT045",NA,"Tier 2","Supermarket Type1",1356.19548385873
"13","NCC54",NA,"Low Fat",0.171079215,"Health and Hygiene",240.4196,"OUT019","Small","Tier 1","Grocery Store",1882.69498072381
"14","FDU11",4.785,"Low Fat",0.092737611,"Breads",122.3098,"OUT049","Medium","Tier 1","Supermarket Type1",2079.06696239832
"15","DRL59",16.75,"LF",0.021206464,"Hard Drinks",52.0298,"OUT013","High","Tier 3","Supermarket Type1",858.030542531116
