"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1","FDW58",20.75,"Low Fat","Snack Foods",107.8622,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1724.10853924415
"2","FDW14",8.3,"reg","Dairy",87.3198,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1504.38201527974
"3","NCN55",14.6,"Low Fat","Others",241.7538,"OUT010",1998,"High","Tier 3","Grocery Store",2540.80815474284
"4","FDQ58",7.315,"Low Fat","Snack Foods",155.034,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2104.04033073443
"5","FDY38",13.4984143971345,"Regular","Dairy",234.23,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5241.27570066161
"6","FDH56",9.8,"Regular","Fruits and Vegetables",117.1492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1973.81725352897
"7","FDL48",19.35,"Regular","Baking Goods",50.1034,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",279.012837694512
"8","FDC48",10.3908346200389,"Low Fat","Baking Goods",81.0592,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3225.39093028983
"9","FDN33",6.305,"Regular","Snack Foods",95.7436,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",904.254326181987
"10","FDA36",5.985,"Low Fat","Baking Goods",186.8924,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2275.75832917389
"11","FDT44",16.6,"Low Fat","Fruits and Vegetables",118.3466,"OUT017",2007,"High","Tier 2","Supermarket Type1",1704.1899429309
"12","FDQ56",6.59,"Low Fat","Fruits and Vegetables",85.3908,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1738.97232189955
"13","NCC54",15.9356912644962,"Low Fat","Health and Hygiene",240.4196,"OUT019",1985,"Small","Tier 1","Grocery Store",2342.58121459145
"14","FDU11",4.785,"Low Fat","Breads",122.3098,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1829.16956694734
"15","DRL59",16.75,"LF","Hard Drinks",52.0298,"OUT013",1987,"High","Tier 3","Supermarket Type1",1496.15350374833
"16","FDM24",6.135,"Regular","Baking Goods",151.6366,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1969.35757858461
"17","FDI57",19.85,"Low Fat","Seafood",198.7768,"OUT045",2002,"High","Tier 2","Supermarket Type1",3877.67521795182
"18","DRC12",17.85,"Low Fat","Soft Drinks",192.2188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1853.10236797416
"19","NCM42",10.5860827811421,"Low Fat","Household",109.6912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2755.35170775191
"20","FDA46",13.6,"Low Fat","Snack Foods",193.7136,"OUT010",1998,"Small","Tier 3","Grocery Store",1642.59452345918
"21","FDA31",7.1,"Low Fat","Fruits and Vegetables",175.008,"OUT013",1987,"High","Tier 3","Supermarket Type1",2380.87863160718
"22","NCJ31",19.2,"Low Fat","Others",239.9196,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3486.83603682994
"23","FDG52",13.65,"LF","Frozen Foods",47.7402,"OUT046",1997,"Small","Tier 1","Supermarket Type1",397.429502451261
"24","NCL19",14.3490222073541,"Low Fat","Others",142.347,"OUT019",1985,"Small","Tier 1","Grocery Store",345.766315292031
"25","FDS10",19.2,"Low Fat","Snack Foods",180.7318,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2981.61077234648
"26","FDX22",6.785,"Regular","Snack Foods",209.4928,"OUT010",1998,"Medium","Tier 3","Grocery Store",1630.07401538842
"27","NCF19",13,"Low Fat","Household",47.6034,"OUT035",2004,"Small","Tier 2","Supermarket Type1",938.842080952957
"28","NCE06",5.825,"Low Fat","Household",161.3894,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1783.24091876518
"29","DRC27",13.8,"Low Fat","Dairy",244.6802,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3059.44531729812
"30","FDE21",12.8,"LF","Fruits and Vegetables",116.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1882.30985277184
"31","NCR42",10.6178011029784,"Low Fat","Household",32.09,"OUT019",1985,"Small","Tier 1","Grocery Store",-1143.67049964354
"32","FDX51",9.5,"Regular","Meat",194.9452,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2587.99661273373
"33","NCR06",12.5,"Low Fat","Household",42.4112,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",297.688056620181
"34","FDU31",15.0023790933319,"Regular","Fruits and Vegetables",217.7508,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4334.01320978731
"35","FDU59",5.78,"Low Fat","Breads",164.2552,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3017.02208435562
"36","FDR03",10.7097244099037,"Regular","Meat",205.098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5621.37828915645
"37","FDS49",15.6847535764254,"Low Fat","Canned",80.3644,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2831.13295312762
"38","FDD48",10.395,"Low Fat","Baking Goods",114.0176,"OUT010",1998,"High","Tier 3","Grocery Store",212.803492125443
"39","NCF18",18.35,"Low Fat","Household",192.1504,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3899.35739683933
"40","NCD43",13.3817859303925,"Low Fat","Household",103.3964,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2850.84681618025
"41","NCD54",21.1,"Low Fat","Household",143.3786,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1923.0527566764
"42","FDY19",19.75,"LF","Fruits and Vegetables",116.6466,"OUT010",1998,"Small","Tier 3","Grocery Store",542.182645214795
"43","NCY54",8.43,"Low Fat","Household",173.9422,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3000.19894710541
"44","NCL19",15.35,"Low Fat","Others",144.847,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1937.72893210214
"45","FDP23",6.71,"Low Fat","Breads",217.2166,"OUT010",1998,"Small","Tier 3","Grocery Store",1524.01999700887
"46","FDC26",10.195,"Low Fat","Canned",112.1886,"OUT013",1987,"High","Tier 3","Supermarket Type1",1595.04777657448
"47","FDR14",11.65,"Low Fat","Dairy",55.8298,"OUT010",1998,"Small","Tier 3","Grocery Store",-1273.02485613119
"48","NCS41",12.85,"Low Fat","Health and Hygiene",183.2608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1431.73108865881
"49","FDF41",12.15,"Low Fat","Frozen Foods",248.146,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3921.44503578612
"50","FDU34",18.25,"Low Fat","Snack Foods",124.9046,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2069.80154013498
"51","DRH11",5.98,"Low Fat","Hard Drinks",57.0614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",600.614606194886
"52","FDM03",12.65,"Low Fat","Meat",106.6938,"OUT013",1987,"High","Tier 3","Supermarket Type1",1400.96732663318
"53","FDS31",13.1,"Regular","Fruits and Vegetables",181.0318,"OUT017",2007,"High","Tier 2","Supermarket Type1",2857.58207136346
"54","FDJ20",20.7,"Regular","Fruits and Vegetables",122.3388,"OUT017",2007,"High","Tier 2","Supermarket Type1",1947.30651278336
"55","FDV44",13.6053089845627,"Regular","Fruits and Vegetables",188.7188,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3721.69054393203
"56","FDG02",7.855,"Low Fat","Canned",188.8188,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2172.27294203625
"57","FDA09",13.35,"Regular","Snack Foods",179.666,"OUT013",1987,"High","Tier 3","Supermarket Type1",3054.8457193662
"58","FDT04",17.25,"LF","Frozen Foods",38.3822,"OUT013",1987,"High","Tier 3","Supermarket Type1",834.262791313119
"59","FDL58",14.9438532156554,"Regular","Snack Foods",263.2568,"OUT019",1985,"Small","Tier 1","Grocery Store",2039.790477317
"60","FDE52",10.395,"Regular","Dairy",90.1514,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1952.67971638878
"61","FDW12",8.315,"Regular","Baking Goods",144.8444,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2214.06572909504
"62","FDL51",20.7,"Regular","Dairy",214.9876,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2931.21895563413
"63","NCY42",10.8840699986045,"Low Fat","Household",141.347,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3971.82267126977
"64","FDR07",21.35,"Low Fat","Fruits and Vegetables",96.8094,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",1361.73888304379
"65","FDN40",5.88,"Low Fat","Frozen Foods",152.6998,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2340.07302690658
"66","FDB35",11.5073543466075,"Regular","Starchy Foods",90.3804,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3167.18321395374
"67","FDA22",7.435,"low fat","Starchy Foods",165.8158,"OUT017",2007,"High","Tier 2","Supermarket Type1",3637.15707884231
"68","NCL06",14.65,"Low Fat","Household",262.5594,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3518.2863679023
"69","FDI35",14,"Low Fat","Starchy Foods",181.2634,"OUT013",1987,"High","Tier 3","Supermarket Type1",4009.76857582
"70","NCW42",18.2,"Low Fat","Household",221.6456,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3101.45550240955
"71","NCX06",17.6,"Low Fat","Household",180.0976,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3095.07279933016
"72","FDC37",13.2711415793021,"Low Fat","Baking Goods",108.1938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3905.83704380361
"73","FDZ14",7.71,"Regular","Dairy",122.3756,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1783.82079731922
"74","DRG49",7.81,"Low Fat","Soft Drinks",245.2486,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3983.95330147521
"75","NCG06",16.35,"Low Fat","Household",256.2646,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2914.50075589106
"76","DRC36",13,"Regular","Soft Drinks",173.7054,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2593.52900177741
"77","FDV21",13.0871241345456,"Low Fat","Snack Foods",124.8704,"OUT019",1985,"Small","Tier 1","Grocery Store",265.225052629992
"78","FDB53",13.35,"Low Fat","Frozen Foods",148.6392,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3179.25950793268
"79","DRP47",14.5620972891871,"Low Fat","Hard Drinks",252.4382,"OUT019",1985,"Small","Tier 1","Grocery Store",1859.8484879311
"80","FDA14",16.1,"LF","Dairy",145.176,"OUT013",1987,"High","Tier 3","Supermarket Type1",1846.70910580889
"81","DRC24",17.85,"Low Fat","Soft Drinks",152.6998,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3405.22802069019
"82","FDW21",5.34,"Regular","Snack Foods",100.6358,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1120.64375215232
"83","NCH29",5.51,"Low Fat","Health and Hygiene",97.3726,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1833.87781547189
"84","FDU58",6.61,"Regular","Snack Foods",188.6898,"OUT013",1987,"High","Tier 3","Supermarket Type1",2705.13692430829
"85","FDY27",6.38,"Low Fat","Dairy",177.6344,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",2144.29174728472
"86","FDV56",16.1,"Regular","Fruits and Vegetables",108.9596,"OUT035",2004,"Small","Tier 2","Supermarket Type1",642.938295196022
"87","FDT59",13.65,"LF","Breads",230.5668,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3527.64055115769
"88","FDB23",19.2,"Regular","Starchy Foods",225.5062,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3636.31539724471
"89","FDR49",8.71,"Low Fat","Canned",46.2376,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",980.253939736395
"90","FDB03",17.75,"Regular","Dairy",242.2538,"OUT010",1998,"High","Tier 3","Grocery Store",1719.53659379777
"91","FDN39",19.35,"Regular","Meat",165.7816,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",2425.38809972728
"92","FDX02",14.0631003268952,"Low Fat","Dairy",223.1404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5676.27920720188
"93","FDQ16",11.7807737700307,"Low Fat","Frozen Foods",107.7912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3829.08476380894
"94","FDU35",6.44,"Low Fat","Breads",99.47,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1701.60272674811
"95","NCT29",12.6,"Low Fat","Health and Hygiene",122.1414,"OUT013",1987,"High","Tier 3","Supermarket Type1",1817.59963564494
"96","FDZ27",7.935,"Low Fat","Dairy",48.135,"OUT046",1997,"Small","Tier 1","Supermarket Type1",865.678679035877
"97","FDN57",18.25,"Low Fat","Snack Foods",140.4154,"OUT017",2007,"High","Tier 2","Supermarket Type1",2654.30444980072
"98","FDA03",18.5,"Regular","Dairy",145.6102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2015.04686992028
"99","FDZ36",6.035,"Regular","Baking Goods",185.724,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",3470.26279054009
"100","NCU05",11.8,"Low Fat","Health and Hygiene",81.1618,"OUT013",1987,"High","Tier 3","Supermarket Type1",1160.90513794954
"101","FDT39",6.26,"Regular","Meat",151.1366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2250.72627227999
"102","FDK60",16.5,"Regular","Baking Goods",97.2068,"OUT017",2007,"High","Tier 2","Supermarket Type1",1823.48451040061
"103","FDZ25",15.7,"Regular","Canned",169.279,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",3070.12161740769
"104","FDG12",6.635,"reg","Baking Goods",122.1098,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2131.39204124706
"105","DRB01",13.0531428398866,"low fat","Soft Drinks",191.553,"OUT019",1985,"Small","Tier 1","Grocery Store",-880.65189442763
"106","NCC43",14.2160260065159,"Low Fat","Household",250.6066,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3995.66499257201
"107","FDX13",13.4088132793898,"Low Fat","Canned",248.6092,"OUT019",1985,"Small","Tier 1","Grocery Store",2496.91993607016
"108","FDM22",14,"Regular","Snack Foods",53.064,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1168.82509798733
"109","FDJ03",10.4383888225587,"Regular","Dairy",48.8692,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2657.83190287942
"110","FDU14",17.75,"Low Fat","Dairy",249.775,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3865.38423644183
"111","FDB33",17.75,"Low Fat","Fruits and Vegetables",159.0262,"OUT010",1998,"Small","Tier 3","Grocery Store",1339.26484018549
"112","FDP27",8.155,"Low Fat","Meat",190.653,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3247.82893747898
"113","FDO38",17.25,"Low Fat","Canned",76.6986,"OUT010",1998,"Small","Tier 3","Grocery Store",-901.882218533123
"114","FDE28",12.3410096110203,"Regular","Frozen Foods",232.0668,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5016.66996736377
"115","FDO27",6.175,"Regular","Meat",95.3752,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1719.47797704573
"116","DRL23",12.3871665681646,"Low Fat","Hard Drinks",107.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3196.09728729356
"117","FDS28",8.18,"Regular","Frozen Foods",55.9588,"OUT046",1997,"Small","Tier 1","Supermarket Type1",400.63910602159
"118","FDX24",8.355,"Low Fat","Baking Goods",92.5462,"OUT013",1987,"High","Tier 3","Supermarket Type1",1527.92976495099
"119","FDZ02",6.905,"Regular","Dairy",96.3726,"OUT035",2004,"Small","Tier 2","Supermarket Type1",892.909508499886
"120","FDL46",20.35,"Low Fat","Snack Foods",116.9466,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",1213.18036301615
"121","FDS60",15.1505156465035,"Low Fat","Baking Goods",178.766,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3888.31497907946
"122","NCO06",19.25,"Low Fat","Household",33.0558,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",527.636439147283
"123","FDO16",5.48,"Low Fat","Frozen Foods",84.625,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2277.12009827428
"124","FDC60",5.425,"Regular","Baking Goods",87.3514,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2194.0714599634
"125","FDA48",12.1,"Low Fat","Baking Goods",220.2114,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4042.9121869165
"126","FDZ36",11.1002102509918,"Regular","Baking Goods",186.424,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4904.18627609062
"127","FDK27",11,"Low Fat","Meat",120.6756,"OUT045",2002,"High","Tier 2","Supermarket Type1",1754.73721643738
"128","FDW23",5.765,"Low Fat","Baking Goods",38.8164,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",552.197746748777
"129","FDM14",13.8,"Low Fat","Canned",110.1254,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1298.12354356303
"130","FDM14",13.8,"Low Fat","Canned",108.2254,"OUT013",1987,"High","Tier 3","Supermarket Type1",1612.94021994835
"131","FDW60",5.44,"Regular","Baking Goods",177.837,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2471.02553247416
"132","FDE21",12.8,"Low Fat","Fruits and Vegetables",116.4492,"OUT013",1987,"High","Tier 3","Supermarket Type1",1834.23815589863
"133","NCM42",6.13,"Low Fat","Household",109.3912,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1541.8236514959
"134","FDY59",8.195,"Low Fat","Baking Goods",93.9462,"OUT010",1998,"Small","Tier 3","Grocery Store",-947.377203248466
"135","DRI49",14.15,"Low Fat","Soft Drinks",81.3276,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1556.40650792119
"136","FDT28",9.43069207494257,"Low Fat","Frozen Foods",151.2708,"OUT019",1985,"Small","Tier 1","Grocery Store",515.788943399453
"137","FDQ22",16.75,"Low Fat","Snack Foods",39.5822,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",-184.84564963218
"138","FDR60",14.3,"LF","Baking Goods",76.5328,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",525.467483789833
"139","FDC50",12.9899868310283,"LF","Canned",94.7094,"OUT019",1985,"Small","Tier 1","Grocery Store",-134.888277064261
"140","FDV24",5.635,"Low Fat","Baking Goods",151.805,"OUT013",1987,"High","Tier 3","Supermarket Type1",2051.67101021119
"141","DRF48",5.73,"Low Fat","Soft Drinks",188.3898,"OUT010",1998,"High","Tier 3","Grocery Store",-367.414469283933
"142","FDQ47",7.155,"Regular","Breads",36.5874,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1020.21795099944
"143","DRN36",15.2,"low fat","Soft Drinks",97.3752,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1537.99312446954
